keyword,type,value,gpts_ratio,source,seed_keyword,cluster,is_difficulty_mode
resident evil requiem,top,8,2096.5,round1,re9 safe code,其他,False
safe code resident evil requiem,top,8,20.5,round1,re9 safe code,保险箱密码,False
ign,top,72,8.6197,round1,resident evil requiem walkthrough,其他,False
resident evil requiem ps5,top,74,4.6109,round1,resident evil requiem walkthrough,其他,False
in resident evil requiem,top,47,3.8608,round1,resident evil requiem safe code,其他,False
re9 requiem,top,17,2.3886,round1,re9 safe code,其他,False
safe code re9,top,25,1.5036,round1,re9 puzzle box,保险箱密码,False
resident evil requiem grace,top,100,1.131,round1,resident evil requiem walkthrough,剧情/角色,False
re9 puzzle,top,25,1.0224,round1,re9 safe code,谜题/解谜,False
organ transport box,top,40,0.7146,round1,re9 puzzle box,谜题/解谜,False
re9 organ box,top,100,0.6929,round1,re9 puzzle box,谜题/解谜,False
examination room safe,top,66,0.5883,round1,re9 safe code,保险箱密码,False
examination room safe code,top,64,0.4355,round1,re9 safe code,保险箱密码,False
re9 bar safe code,top,9,0.4276,round1,re9 puzzle box,保险箱密码,False
bar safe code re9,top,9,0.4274,round1,re9 puzzle box,保险箱密码,False
re9 safe code bar,top,100,0.4267,round1,re9 safe code,保险箱密码,False
bar and lounge safe code,top,52,0.3593,round1,re9 safe code,保险箱密码,False
examination room safe re9,top,10,0.3553,round1,re9 puzzle box,保险箱密码,False
re9 examination room safe,top,69,0.3551,round1,re9 safe code,保险箱密码,False
examination room safe code re9,top,68,0.285,round1,re9 safe code,保险箱密码,False
re9 lounge safe code,top,65,0.2798,round1,re9 safe code,保险箱密码,False
re9 bar lounge safe code,top,63,0.2697,round1,re9 safe code,保险箱密码,False
resident evil requiem organ box,top,11,0.2551,round1,resident evil requiem safe code,谜题/解谜,False
resident evil requiem ign,top,72,0.2463,round1,resident evil requiem walkthrough,其他,False
bar and lounge safe code re9,top,6,0.24,round1,re9 puzzle box,保险箱密码,False
re9 safe code bar and lounge,top,54,0.2399,round1,re9 safe code,保险箱密码,False
re9 walkthrough,top,85,0.2375,round1,resident evil requiem walkthrough,攻略/通关,False
safe code re requiem,top,11,0.2291,round1,resident evil requiem safe code,保险箱密码,False
roulette re9,rising,192500,0.2146,round1,re9 safe code,谜题/解谜,False
re9 basement,top,14,0.1959,round1,re9 safe code,其他,False
resident evil requiem bar safe code,top,100,0.188,round1,resident evil requiem safe code,保险箱密码,False
moon puzzle re9,top,15,0.1879,round1,re9 puzzle box,谜题/解谜,False
resident evil requiem safe room,top,67,0.1813,round1,resident evil requiem safe code,游戏机制,False
re9 sun puzzle,top,18,0.157,round1,re9 puzzle box,谜题/解谜,False
re9 east wing,top,10,0.1507,round1,re9 safe code,其他,False
organ box code re9,top,10,0.1278,round1,re9 safe code,谜题/解谜,False
resident evil requiem examination room safe,top,46,0.1123,round1,resident evil requiem safe code,保险箱密码,False
resident evil requiem moon puzzle,top,12,0.1047,round1,resident evil requiem safe code,谜题/解谜,False
re9 organ puzzle,top,99,0.0982,round1,re9 puzzle box,谜题/解谜,False
sun moon star puzzle re9,top,6,0.0956,round1,re9 puzzle box,谜题/解谜,False
basement safe re9,top,14,0.0941,round1,re9 safe code,保险箱密码,False
resident evil requiem examination room code,top,46,0.0865,round1,resident evil requiem safe code,保险箱密码,False
resident evil requiem bar and lounge safe,top,36,0.083,round1,resident evil requiem safe code,保险箱密码,False
resident evil requiem puzzle box,top,7,0.0808,round1,re9 puzzle box,谜题/解谜,False
resident evil requiem east wing,top,13,0.0705,round1,resident evil requiem safe code,攻略/通关,False
lead researchers office puzzle,top,11,0.0647,round1,re9 puzzle box,谜题/解谜,False
corrosive re9,top,7,0.0635,round1,re9 puzzle box,游戏机制,False
organ transport box puzzle,top,40,0.055,round1,re9 puzzle box,谜题/解谜,False
